COV,Intensity,SV,chainLength,unsaturationUnit,isomer,sphingoidBackbone,lipidSpecies
-2,0,400,16,1,Glc,d18:1,16:1
-1.8,0,400,16,1,Glc,d18:1,16:1
-1.6,0,400,16,1,Glc,d18:1,16:1
-1.4,40,400,16,1,Glc,d18:1,16:1
-1.2,320,400,16,1,Glc,d18:1,16:1
-1,1280,400,16,1,Glc,d18:1,16:1
-0.8,2280,400,16,1,Glc,d18:1,16:1
-0.6,3620,400,16,1,Glc,d18:1,16:1
-0.4,3640,400,16,1,Glc,d18:1,16:1
-0.2,3200,400,16,1,Glc,d18:1,16:1
0,2440,400,16,1,Glc,d18:1,16:1
0.2,1620,400,16,1,Glc,d18:1,16:1
0.4,1620,400,16,1,Glc,d18:1,16:1
0.6,1060,400,16,1,Glc,d18:1,16:1
0.8,1160,400,16,1,Glc,d18:1,16:1
1,280,400,16,1,Glc,d18:1,16:1
1.2,240,400,16,1,Glc,d18:1,16:1
1.4,20,400,16,1,Glc,d18:1,16:1
1.6,0,400,16,1,Glc,d18:1,16:1
1.8,0,400,16,1,Glc,d18:1,16:1
2,0,400,16,1,Glc,d18:1,16:1
2.2,0,400,16,1,Glc,d18:1,16:1
2.4,0,400,16,1,Glc,d18:1,16:1
2.6,0,400,16,1,Glc,d18:1,16:1
2.8,0,400,16,1,Glc,d18:1,16:1
3,0,400,16,1,Glc,d18:1,16:1
3.2,0,400,16,1,Glc,d18:1,16:1
3.4,0,400,16,1,Glc,d18:1,16:1
3.6,0,400,16,1,Glc,d18:1,16:1
3.8,0,400,16,1,Glc,d18:1,16:1
4,0,400,16,1,Glc,d18:1,16:1
4.2,0,400,16,1,Glc,d18:1,16:1
4.4,0,400,16,1,Glc,d18:1,16:1
4.6,0,400,16,1,Glc,d18:1,16:1
4.8,0,400,16,1,Glc,d18:1,16:1
5,0,400,16,1,Glc,d18:1,16:1
5.2,0,400,16,1,Glc,d18:1,16:1
5.4,0,400,16,1,Glc,d18:1,16:1
5.6,0,400,16,1,Glc,d18:1,16:1
5.8,0,400,16,1,Glc,d18:1,16:1
6,0,400,16,1,Glc,d18:1,16:1
6.2,0,400,16,1,Glc,d18:1,16:1
6.4,0,400,16,1,Glc,d18:1,16:1
6.6,0,400,16,1,Glc,d18:1,16:1
6.8,0,400,16,1,Glc,d18:1,16:1
7,0,400,16,1,Glc,d18:1,16:1
7.2,0,400,16,1,Glc,d18:1,16:1
7.4,0,400,16,1,Glc,d18:1,16:1
7.6,0,400,16,1,Glc,d18:1,16:1
7.8,0,400,16,1,Glc,d18:1,16:1
8,0,400,16,1,Glc,d18:1,16:1
8.2,0,400,16,1,Glc,d18:1,16:1
8.4,0,400,16,1,Glc,d18:1,16:1
8.6,0,400,16,1,Glc,d18:1,16:1
8.8,0,400,16,1,Glc,d18:1,16:1
9,0,400,16,1,Glc,d18:1,16:1
9.2,0,400,16,1,Glc,d18:1,16:1
9.4,0,400,16,1,Glc,d18:1,16:1
9.6,0,400,16,1,Glc,d18:1,16:1
9.8,0,400,16,1,Glc,d18:1,16:1
10,0,400,16,1,Glc,d18:1,16:1
-10,0,500,16,1,Glc,d18:1,16:1
-9.8,0,500,16,1,Glc,d18:1,16:1
-9.6,0,500,16,1,Glc,d18:1,16:1
-9.4,0,500,16,1,Glc,d18:1,16:1
-9.2,0,500,16,1,Glc,d18:1,16:1
-9,0,500,16,1,Glc,d18:1,16:1
-8.8,0,500,16,1,Glc,d18:1,16:1
-8.6,0,500,16,1,Glc,d18:1,16:1
-8.4,0,500,16,1,Glc,d18:1,16:1
-8.2,0,500,16,1,Glc,d18:1,16:1
-8,0,500,16,1,Glc,d18:1,16:1
-7.8,0,500,16,1,Glc,d18:1,16:1
-7.6,0,500,16,1,Glc,d18:1,16:1
-7.4,0,500,16,1,Glc,d18:1,16:1
-7.2,0,500,16,1,Glc,d18:1,16:1
-7,0,500,16,1,Glc,d18:1,16:1
-6.8,0,500,16,1,Glc,d18:1,16:1
-6.6,0,500,16,1,Glc,d18:1,16:1
-6.4,0,500,16,1,Glc,d18:1,16:1
-6.2,0,500,16,1,Glc,d18:1,16:1
-6,0,500,16,1,Glc,d18:1,16:1
-5.8,0,500,16,1,Glc,d18:1,16:1
-5.6,0,500,16,1,Glc,d18:1,16:1
-5.4,0,500,16,1,Glc,d18:1,16:1
-5.2,0,500,16,1,Glc,d18:1,16:1
